disease,resistance_gene_count,temperature,humidity,soil_moisture,light,risk_level,risk_score
Late Blight,0,36.9,44.7,34.2,223.5,LOW,10.0
Fusarium Wilt,2,36.9,44.7,34.2,223.5,LOW,25.0
Early Blight,0,26.1,64.0,25.2,1116.0,LOW,25.0
Late Blight,0,26.1,64.0,25.2,1116.0,LOW,25.0
Fusarium Wilt,1,26.1,64.0,25.2,1116.0,LOW,25.0
Early Blight,0,33.9,93.8,64.1,246.0,LOW,25.0
Late Blight,1,33.9,93.8,64.1,246.0,LOW,10.0
Fusarium Wilt,1,33.9,93.8,64.1,246.0,MEDIUM,40.0
Early Blight,1,36.4,76.7,57.5,195.8,LOW,35.0
Late Blight,1,36.4,76.7,57.5,195.8,LOW,10.0
Fusarium Wilt,1,36.4,76.7,57.5,195.8,MEDIUM,40.0
Early Blight,1,28.3,51.2,81.4,453.0,LOW,35.0
Late Blight,2,28.3,51.2,81.4,453.0,LOW,10.0
Fusarium Wilt,2,28.3,51.2,81.4,453.0,LOW,25.0
Early Blight,0,18.4,48.6,11.2,785.2,LOW,12.0
Late Blight,2,18.4,48.6,11.2,785.2,LOW,10.0
Fusarium Wilt,2,18.4,48.6,11.2,785.2,LOW,15.0
Early Blight,0,31.2,49.3,29.6,178.4,LOW,12.0
Late Blight,2,31.2,49.3,29.6,178.4,LOW,10.0
Fusarium Wilt,2,31.2,49.3,29.6,178.4,LOW,25.0
Early Blight,1,30.5,37.2,14.3,569.1,LOW,22.0
Late Blight,0,30.5,37.2,14.3,569.1,LOW,10.0
Fusarium Wilt,0,30.5,37.2,14.3,569.1,LOW,15.0
Early Blight,0,29.2,51.2,75.4,884.2,LOW,25.0
Late Blight,0,29.2,51.2,75.4,884.2,LOW,10.0
Fusarium Wilt,1,29.2,51.2,75.4,884.2,LOW,25.0
Early Blight,1,18.0,85.3,83.6,615.1,LOW,35.0
Late Blight,0,18.0,85.3,83.6,615.1,MEDIUM,45.0
Fusarium Wilt,2,18.0,85.3,83.6,615.1,LOW,25.0
Early Blight,1,20.1,88.6,59.4,1104.1,LOW,35.0
Late Blight,0,20.1,88.6,59.4,1104.1,MEDIUM,45.0
Fusarium Wilt,0,20.1,88.6,59.4,1104.1,LOW,25.0
Early Blight,1,25.4,32.1,48.0,486.6,LOW,22.0
Late Blight,1,25.4,32.1,48.0,486.6,LOW,10.0
Fusarium Wilt,1,25.4,32.1,48.0,486.6,MEDIUM,40.0
Early Blight,0,17.4,85.6,73.7,458.5,LOW,25.0
Late Blight,0,17.4,85.6,73.7,458.5,MEDIUM,45.0
Fusarium Wilt,2,17.4,85.6,73.7,458.5,LOW,25.0
Early Blight,1,29.3,67.3,87.9,522.2,LOW,35.0
Late Blight,0,29.3,67.3,87.9,522.2,LOW,10.0
Fusarium Wilt,1,29.3,67.3,87.9,522.2,LOW,25.0
Early Blight,1,33.1,67.0,28.9,828.9,LOW,35.0
Late Blight,0,33.1,67.0,28.9,828.9,LOW,10.0
Fusarium Wilt,1,33.1,67.0,28.9,828.9,LOW,25.0
Early Blight,0,25.6,67.7,75.8,293.8,LOW,25.0
Late Blight,2,25.6,67.7,75.8,293.8,LOW,25.0
Fusarium Wilt,0,25.6,67.7,75.8,293.8,LOW,25.0
Early Blight,0,23.7,63.6,62.8,199.6,LOW,25.0
Late Blight,0,23.7,63.6,62.8,199.6,LOW,25.0
Fusarium Wilt,1,23.7,63.6,62.8,199.6,LOW,25.0
Early Blight,0,18.4,40.1,52.5,529.0,LOW,12.0
Late Blight,1,18.4,40.1,52.5,529.0,LOW,10.0
Fusarium Wilt,1,18.4,40.1,52.5,529.0,LOW,25.0
Early Blight,0,36.0,50.7,85.5,578.2,LOW,25.0
Late Blight,2,36.0,50.7,85.5,578.2,LOW,10.0
Fusarium Wilt,1,36.0,50.7,85.5,578.2,LOW,25.0
Early Blight,0,24.3,38.7,33.5,506.1,LOW,12.0
Late Blight,1,24.3,38.7,33.5,506.1,LOW,10.0
Fusarium Wilt,1,24.3,38.7,33.5,506.1,LOW,25.0
Early Blight,1,34.8,88.9,28.8,872.4,LOW,35.0
Late Blight,2,34.8,88.9,28.8,872.4,LOW,10.0
Fusarium Wilt,1,34.8,88.9,28.8,872.4,LOW,25.0
Early Blight,0,30.2,62.3,25.1,523.1,LOW,25.0
Late Blight,1,30.2,62.3,25.1,523.1,LOW,20.0
Fusarium Wilt,0,30.2,62.3,25.1,523.1,LOW,25.0
Early Blight,1,18.1,34.9,11.3,893.5,LOW,22.0
Late Blight,1,18.1,34.9,11.3,893.5,LOW,10.0
Fusarium Wilt,1,18.1,34.9,11.3,893.5,LOW,15.0
Early Blight,1,24.6,61.0,73.1,764.9,LOW,35.0
Late Blight,1,24.6,61.0,73.1,764.9,LOW,25.0
Fusarium Wilt,1,24.6,61.0,73.1,764.9,LOW,25.0
Early Blight,0,23.2,42.6,58.4,735.7,LOW,12.0
Late Blight,1,23.2,42.6,58.4,735.7,LOW,10.0
Fusarium Wilt,1,23.2,42.6,58.4,735.7,LOW,25.0
Early Blight,1,23.4,96.5,55.5,875.4,LOW,35.0
Late Blight,1,23.4,96.5,55.5,875.4,MEDIUM,45.0
Fusarium Wilt,1,23.4,96.5,55.5,875.4,LOW,25.0
Early Blight,1,37.6,96.9,72.3,611.4,LOW,35.0
Late Blight,1,37.6,96.9,72.3,611.4,LOW,20.0
Fusarium Wilt,1,37.6,96.9,72.3,611.4,LOW,25.0
Early Blight,1,37.1,35.3,60.7,977.9,LOW,22.0
Late Blight,2,37.1,35.3,60.7,977.9,LOW,10.0
Fusarium Wilt,1,37.1,35.3,60.7,977.9,MEDIUM,40.0
Early Blight,0,26.8,61.9,68.7,563.1,LOW,25.0
Late Blight,1,26.8,61.9,68.7,563.1,LOW,35.0
Fusarium Wilt,1,26.8,61.9,68.7,563.1,MEDIUM,40.0
Early Blight,1,32.2,79.4,55.1,167.6,LOW,35.0
Late Blight,2,32.2,79.4,55.1,167.6,LOW,10.0
Fusarium Wilt,0,32.2,79.4,55.1,167.6,MEDIUM,40.0
Early Blight,0,29.4,49.5,16.6,656.2,LOW,12.0
Late Blight,2,29.4,49.5,16.6,656.2,LOW,10.0
Fusarium Wilt,1,29.4,49.5,16.6,656.2,LOW,15.0
Early Blight,1,15.3,37.6,24.0,750.9,LOW,22.0
Late Blight,1,15.3,37.6,24.0,750.9,LOW,10.0
Fusarium Wilt,1,15.3,37.6,24.0,750.9,LOW,15.0
Early Blight,1,26.2,84.4,79.0,477.1,MEDIUM,52.0
Late Blight,1,26.2,84.4,79.0,477.1,LOW,25.0
Fusarium Wilt,2,26.2,84.4,79.0,477.1,LOW,25.0
Early Blight,0,37.9,82.4,29.0,584.2,LOW,25.0
Late Blight,1,37.9,82.4,29.0,584.2,LOW,10.0
Fusarium Wilt,1,37.9,82.4,29.0,584.2,LOW,25.0
Early Blight,1,32.4,37.9,23.4,538.6,LOW,22.0
Late Blight,0,32.4,37.9,23.4,538.6,LOW,10.0
Fusarium Wilt,1,32.4,37.9,23.4,538.6,LOW,15.0
Early Blight,1,31.2,62.3,21.6,1057.3,LOW,35.0
Late Blight,1,31.2,62.3,21.6,1057.3,LOW,20.0
Fusarium Wilt,0,31.2,62.3,21.6,1057.3,LOW,15.0
Early Blight,0,30.7,32.8,83.4,801.2,LOW,12.0
Late Blight,1,30.7,32.8,83.4,801.2,LOW,10.0
Fusarium Wilt,1,30.7,32.8,83.4,801.2,LOW,25.0
Early Blight,0,21.1,36.7,62.3,530.3,LOW,12.0
Late Blight,0,21.1,36.7,62.3,530.3,LOW,10.0
Fusarium Wilt,1,21.1,36.7,62.3,530.3,LOW,25.0
Early Blight,0,22.8,76.9,24.4,702.4,LOW,25.0
Late Blight,1,22.8,76.9,24.4,702.4,LOW,35.0
Fusarium Wilt,2,22.8,76.9,24.4,702.4,LOW,15.0
Early Blight,1,25.3,44.9,32.7,312.4,LOW,22.0
Late Blight,1,25.3,44.9,32.7,312.4,LOW,10.0
Fusarium Wilt,0,25.3,44.9,32.7,312.4,LOW,25.0
Early Blight,0,36.9,73.4,66.6,232.0,LOW,25.0
Late Blight,1,36.9,73.4,66.6,232.0,LOW,10.0
Fusarium Wilt,0,36.9,73.4,66.6,232.0,MEDIUM,40.0
Early Blight,1,37.2,90.9,65.7,378.7,LOW,35.0
Late Blight,0,37.2,90.9,65.7,378.7,LOW,10.0
Fusarium Wilt,1,37.2,90.9,65.7,378.7,MEDIUM,40.0
Early Blight,1,24.8,91.4,71.6,455.7,MEDIUM,52.0
Late Blight,1,24.8,91.4,71.6,455.7,LOW,25.0
Fusarium Wilt,2,24.8,91.4,71.6,455.7,LOW,25.0
Early Blight,1,16.4,95.0,31.2,584.6,LOW,35.0
Late Blight,0,16.4,95.0,31.2,584.6,MEDIUM,45.0
Fusarium Wilt,2,16.4,95.0,31.2,584.6,LOW,25.0
Early Blight,0,18.3,82.3,27.5,807.7,LOW,25.0
Late Blight,1,18.3,82.3,27.5,807.7,MEDIUM,55.0
Fusarium Wilt,1,18.3,82.3,27.5,807.7,LOW,25.0
Early Blight,0,20.8,60.3,81.7,263.7,LOW,25.0
Late Blight,0,20.8,60.3,81.7,263.7,LOW,25.0
Fusarium Wilt,1,20.8,60.3,81.7,263.7,LOW,25.0
Early Blight,1,35.8,69.1,51.2,1133.9,LOW,35.0
Late Blight,1,35.8,69.1,51.2,1133.9,LOW,10.0
Fusarium Wilt,0,35.8,69.1,51.2,1133.9,MEDIUM,40.0
Early Blight,1,27.4,30.2,86.3,999.8,LOW,22.0
Late Blight,0,27.4,30.2,86.3,999.8,LOW,10.0
Fusarium Wilt,1,27.4,30.2,86.3,999.8,LOW,25.0
Early Blight,0,24.2,73.0,86.7,199.7,MEDIUM,42.0
Late Blight,1,24.2,73.0,86.7,199.7,LOW,35.0
Fusarium Wilt,1,24.2,73.0,86.7,199.7,LOW,25.0
Early Blight,1,29.9,42.0,13.1,522.6,LOW,22.0
Late Blight,0,29.9,42.0,13.1,522.6,LOW,10.0
Fusarium Wilt,1,29.9,42.0,13.1,522.6,LOW,15.0
Early Blight,1,17.0,73.0,68.8,253.9,LOW,35.0
Late Blight,0,17.0,73.0,68.8,253.9,LOW,25.0
Fusarium Wilt,2,17.0,73.0,68.8,253.9,LOW,25.0
Early Blight,1,27.4,50.9,52.7,1017.7,LOW,35.0
Late Blight,1,27.4,50.9,52.7,1017.7,LOW,20.0
Fusarium Wilt,1,27.4,50.9,52.7,1017.7,MEDIUM,40.0
Early Blight,1,16.0,38.0,74.6,834.0,LOW,22.0
Late Blight,0,16.0,38.0,74.6,834.0,LOW,10.0
Fusarium Wilt,1,16.0,38.0,74.6,834.0,LOW,25.0
Early Blight,1,36.3,32.5,21.3,819.2,LOW,22.0
Late Blight,1,36.3,32.5,21.3,819.2,LOW,20.0
Fusarium Wilt,1,36.3,32.5,21.3,819.2,LOW,15.0
Early Blight,1,19.0,33.4,34.6,973.1,LOW,22.0
Late Blight,1,19.0,33.4,34.6,973.1,LOW,10.0
Fusarium Wilt,1,19.0,33.4,34.6,973.1,LOW,25.0
Early Blight,1,26.4,84.3,27.6,984.9,MEDIUM,52.0
Late Blight,0,26.4,84.3,27.6,984.9,LOW,25.0
Fusarium Wilt,1,26.4,84.3,27.6,984.9,LOW,25.0
Early Blight,0,37.4,69.2,21.0,1020.1,LOW,25.0
Late Blight,0,37.4,69.2,21.0,1020.1,LOW,10.0
Fusarium Wilt,2,37.4,69.2,21.0,1020.1,LOW,15.0
Early Blight,1,18.2,58.2,65.7,708.7,LOW,35.0
Late Blight,1,18.2,58.2,65.7,708.7,LOW,20.0
Fusarium Wilt,1,18.2,58.2,65.7,708.7,LOW,25.0
Early Blight,1,29.1,82.9,11.3,635.7,MEDIUM,52.0
Late Blight,2,29.1,82.9,11.3,635.7,LOW,10.0
Fusarium Wilt,0,29.1,82.9,11.3,635.7,LOW,15.0
Early Blight,1,24.6,84.9,71.8,861.6,MEDIUM,52.0
Late Blight,0,24.6,84.9,71.8,861.6,LOW,25.0
Fusarium Wilt,1,24.6,84.9,71.8,861.6,LOW,25.0
Early Blight,0,29.0,32.6,24.4,649.9,LOW,12.0
Late Blight,0,29.0,32.6,24.4,649.9,LOW,10.0
Fusarium Wilt,2,29.0,32.6,24.4,649.9,LOW,15.0
Early Blight,1,20.4,38.0,52.4,205.3,LOW,22.0
Late Blight,0,20.4,38.0,52.4,205.3,LOW,10.0
Fusarium Wilt,1,20.4,38.0,52.4,205.3,LOW,25.0
Early Blight,0,30.2,48.8,25.5,976.3,LOW,12.0
Late Blight,1,30.2,48.8,25.5,976.3,LOW,20.0
Fusarium Wilt,1,30.2,48.8,25.5,976.3,LOW,25.0
Early Blight,1,16.0,73.9,32.8,578.1,LOW,35.0
Late Blight,0,16.0,73.9,32.8,578.1,LOW,25.0
Fusarium Wilt,1,16.0,73.9,32.8,578.1,LOW,25.0
Early Blight,1,36.3,42.0,72.8,633.6,LOW,22.0
Late Blight,0,36.3,42.0,72.8,633.6,LOW,10.0
Fusarium Wilt,1,36.3,42.0,72.8,633.6,LOW,25.0
Early Blight,1,19.6,76.0,36.1,956.9,LOW,35.0
Late Blight,1,19.6,76.0,36.1,956.9,LOW,25.0
Fusarium Wilt,1,19.6,76.0,36.1,956.9,LOW,25.0
Early Blight,1,20.1,62.0,48.8,1079.5,LOW,35.0
Late Blight,1,20.1,62.0,48.8,1079.5,LOW,35.0
Fusarium Wilt,2,20.1,62.0,48.8,1079.5,LOW,25.0
Early Blight,1,31.6,73.0,88.0,322.4,MEDIUM,52.0
Late Blight,1,31.6,73.0,88.0,322.4,LOW,20.0
Fusarium Wilt,1,31.6,73.0,88.0,322.4,LOW,25.0
Early Blight,0,25.5,41.6,37.5,1075.0,LOW,12.0
Late Blight,0,25.5,41.6,37.5,1075.0,LOW,10.0
Fusarium Wilt,1,25.5,41.6,37.5,1075.0,LOW,25.0
Early Blight,1,37.3,88.1,16.9,1042.7,LOW,35.0
Late Blight,0,37.3,88.1,16.9,1042.7,LOW,10.0
Fusarium Wilt,1,37.3,88.1,16.9,1042.7,LOW,15.0
Early Blight,0,31.8,80.1,29.7,460.0,MEDIUM,42.0
Late Blight,0,31.8,80.1,29.7,460.0,LOW,10.0
Fusarium Wilt,1,31.8,80.1,29.7,460.0,LOW,25.0
Early Blight,0,15.1,96.7,13.2,617.7,LOW,25.0
Late Blight,1,15.1,96.7,13.2,617.7,MEDIUM,45.0
Fusarium Wilt,1,15.1,96.7,13.2,617.7,LOW,15.0
Early Blight,1,33.9,60.8,29.2,714.3,LOW,35.0
Late Blight,0,33.9,60.8,29.2,714.3,LOW,10.0
Fusarium Wilt,2,33.9,60.8,29.2,714.3,LOW,25.0
Early Blight,0,29.9,36.2,48.4,435.3,LOW,12.0
Late Blight,0,29.9,36.2,48.4,435.3,LOW,10.0
Fusarium Wilt,2,29.9,36.2,48.4,435.3,MEDIUM,40.0
Early Blight,1,32.8,89.4,42.4,968.8,LOW,35.0
Late Blight,1,32.8,89.4,42.4,968.8,LOW,10.0
Fusarium Wilt,1,32.8,89.4,42.4,968.8,MEDIUM,40.0
Early Blight,1,35.5,52.6,12.6,568.5,LOW,35.0
Late Blight,0,35.5,52.6,12.6,568.5,LOW,10.0
Fusarium Wilt,0,35.5,52.6,12.6,568.5,LOW,15.0
Early Blight,0,16.9,89.9,68.9,160.3,LOW,25.0
Late Blight,0,16.9,89.9,68.9,160.3,MEDIUM,45.0
Fusarium Wilt,2,16.9,89.9,68.9,160.3,LOW,25.0
Early Blight,1,29.2,54.9,24.0,714.7,LOW,35.0
Late Blight,1,29.2,54.9,24.0,714.7,LOW,20.0
Fusarium Wilt,1,29.2,54.9,24.0,714.7,LOW,15.0
Early Blight,0,17.6,62.5,85.1,738.1,LOW,25.0
Late Blight,1,17.6,62.5,85.1,738.1,LOW,25.0
Fusarium Wilt,2,17.6,62.5,85.1,738.1,LOW,25.0
Early Blight,1,21.1,76.3,32.2,169.7,LOW,35.0
Late Blight,1,21.1,76.3,32.2,169.7,LOW,25.0
Fusarium Wilt,1,21.1,76.3,32.2,169.7,LOW,25.0
Early Blight,0,30.6,66.2,33.4,783.0,LOW,25.0
Late Blight,0,30.6,66.2,33.4,783.0,LOW,10.0
Fusarium Wilt,1,30.6,66.2,33.4,783.0,LOW,25.0
Early Blight,1,35.5,61.1,16.4,1087.7,LOW,35.0
Late Blight,1,35.5,61.1,16.4,1087.7,LOW,20.0
Fusarium Wilt,1,35.5,61.1,16.4,1087.7,LOW,15.0
Early Blight,1,26.4,89.5,51.7,790.0,MEDIUM,52.0
Late Blight,0,26.4,89.5,51.7,790.0,LOW,25.0
Fusarium Wilt,2,26.4,89.5,51.7,790.0,MEDIUM,40.0
Early Blight,0,25.2,73.8,33.3,169.2,MEDIUM,42.0
Late Blight,1,25.2,73.8,33.3,169.2,LOW,25.0
Fusarium Wilt,1,25.2,73.8,33.3,169.2,LOW,25.0
Early Blight,0,22.9,73.9,36.1,752.7,LOW,25.0
Late Blight,1,22.9,73.9,36.1,752.7,LOW,35.0
Fusarium Wilt,2,22.9,73.9,36.1,752.7,LOW,25.0
Early Blight,0,33.2,41.7,30.8,632.7,LOW,12.0
Late Blight,1,33.2,41.7,30.8,632.7,LOW,20.0
Fusarium Wilt,2,33.2,41.7,30.8,632.7,LOW,25.0
Early Blight,0,18.8,92.8,66.9,413.8,LOW,25.0
Late Blight,0,18.8,92.8,66.9,413.8,MEDIUM,45.0
Fusarium Wilt,1,18.8,92.8,66.9,413.8,LOW,25.0
Early Blight,1,20.5,32.8,35.3,239.1,LOW,22.0
Late Blight,1,20.5,32.8,35.3,239.1,LOW,10.0
Fusarium Wilt,2,20.5,32.8,35.3,239.1,LOW,25.0
Early Blight,1,22.9,55.4,53.2,278.9,LOW,35.0
Late Blight,1,22.9,55.4,53.2,278.9,LOW,20.0
Fusarium Wilt,2,22.9,55.4,53.2,278.9,LOW,25.0
Early Blight,0,25.5,51.8,10.3,912.3,LOW,25.0
Late Blight,1,25.5,51.8,10.3,912.3,LOW,10.0
Fusarium Wilt,2,25.5,51.8,10.3,912.3,LOW,15.0
Early Blight,0,36.7,96.7,55.9,261.8,LOW,25.0
Late Blight,1,36.7,96.7,55.9,261.8,LOW,20.0
Fusarium Wilt,0,36.7,96.7,55.9,261.8,MEDIUM,40.0
Early Blight,1,35.7,39.5,54.1,438.9,LOW,22.0
Late Blight,1,35.7,39.5,54.1,438.9,LOW,20.0
Fusarium Wilt,2,35.7,39.5,54.1,438.9,MEDIUM,40.0
Early Blight,1,29.8,69.7,27.8,1129.2,LOW,35.0
Late Blight,1,29.8,69.7,27.8,1129.2,LOW,10.0
Fusarium Wilt,1,29.8,69.7,27.8,1129.2,LOW,25.0
Early Blight,0,17.0,64.8,25.6,449.5,LOW,25.0
Late Blight,0,17.0,64.8,25.6,449.5,LOW,25.0
Fusarium Wilt,2,17.0,64.8,25.6,449.5,LOW,25.0
Early Blight,1,34.6,55.1,39.8,413.1,LOW,35.0
Late Blight,0,34.6,55.1,39.8,413.1,LOW,10.0
Fusarium Wilt,1,34.6,55.1,39.8,413.1,LOW,25.0
Early Blight,0,25.2,97.5,74.3,417.5,MEDIUM,42.0
Late Blight,1,25.2,97.5,74.3,417.5,LOW,35.0
Fusarium Wilt,1,25.2,97.5,74.3,417.5,LOW,25.0
Early Blight,0,28.5,35.9,26.6,622.1,LOW,12.0
Late Blight,1,28.5,35.9,26.6,622.1,LOW,20.0
Fusarium Wilt,0,28.5,35.9,26.6,622.1,LOW,25.0
Early Blight,0,17.0,57.8,83.2,556.0,LOW,25.0
Late Blight,0,17.0,57.8,83.2,556.0,LOW,10.0
Fusarium Wilt,2,17.0,57.8,83.2,556.0,LOW,25.0
Early Blight,0,23.8,67.7,13.4,1008.9,LOW,25.0
Late Blight,1,23.8,67.7,13.4,1008.9,LOW,25.0
Fusarium Wilt,2,23.8,67.7,13.4,1008.9,LOW,15.0
Early Blight,1,15.1,47.9,86.5,1017.7,LOW,22.0
Late Blight,0,15.1,47.9,86.5,1017.7,LOW,10.0
Fusarium Wilt,2,15.1,47.9,86.5,1017.7,LOW,25.0
Early Blight,0,30.8,46.6,19.5,404.9,LOW,12.0
Late Blight,1,30.8,46.6,19.5,404.9,LOW,10.0
Fusarium Wilt,0,30.8,46.6,19.5,404.9,LOW,15.0
Early Blight,1,35.0,72.7,48.1,863.7,LOW,35.0
Late Blight,0,35.0,72.7,48.1,863.7,LOW,10.0
Fusarium Wilt,1,35.0,72.7,48.1,863.7,MEDIUM,40.0
Early Blight,1,16.3,51.7,80.3,249.0,LOW,35.0
Late Blight,2,16.3,51.7,80.3,249.0,LOW,10.0
Fusarium Wilt,1,16.3,51.7,80.3,249.0,LOW,25.0
Early Blight,0,21.7,66.0,84.9,665.3,LOW,25.0
Late Blight,2,21.7,66.0,84.9,665.3,LOW,25.0
Fusarium Wilt,0,21.7,66.0,84.9,665.3,LOW,25.0
Early Blight,0,35.1,86.2,64.8,431.2,LOW,25.0
Late Blight,1,35.1,86.2,64.8,431.2,LOW,20.0
Fusarium Wilt,0,35.1,86.2,64.8,431.2,MEDIUM,40.0
Early Blight,1,15.3,65.2,39.8,633.4,LOW,35.0
Late Blight,1,15.3,65.2,39.8,633.4,LOW,35.0
Fusarium Wilt,2,15.3,65.2,39.8,633.4,LOW,25.0
Early Blight,0,19.3,91.0,59.1,1014.6,LOW,25.0
Late Blight,0,19.3,91.0,59.1,1014.6,MEDIUM,45.0
Fusarium Wilt,1,19.3,91.0,59.1,1014.6,LOW,25.0
Early Blight,1,25.6,35.2,75.5,1115.8,LOW,22.0
Late Blight,2,25.6,35.2,75.5,1115.8,LOW,10.0
Fusarium Wilt,0,25.6,35.2,75.5,1115.8,LOW,25.0
Early Blight,1,28.7,81.9,37.4,880.9,MEDIUM,52.0
Late Blight,1,28.7,81.9,37.4,880.9,LOW,20.0
Fusarium Wilt,1,28.7,81.9,37.4,880.9,LOW,25.0
Early Blight,0,20.2,38.5,20.4,186.5,LOW,12.0
Late Blight,1,20.2,38.5,20.4,186.5,LOW,20.0
Fusarium Wilt,0,20.2,38.5,20.4,186.5,LOW,15.0
Early Blight,1,16.0,37.3,73.4,664.8,LOW,22.0
Late Blight,2,16.0,37.3,73.4,664.8,LOW,10.0
Fusarium Wilt,1,16.0,37.3,73.4,664.8,LOW,25.0
Early Blight,0,32.4,83.2,83.6,325.9,LOW,25.0
Late Blight,2,32.4,83.2,83.6,325.9,LOW,10.0
Fusarium Wilt,1,32.4,83.2,83.6,325.9,LOW,25.0
Early Blight,0,36.7,94.5,37.8,276.6,LOW,25.0
Late Blight,1,36.7,94.5,37.8,276.6,LOW,20.0
Fusarium Wilt,1,36.7,94.5,37.8,276.6,LOW,25.0
Early Blight,1,28.3,31.0,27.4,310.7,LOW,22.0
Late Blight,0,28.3,31.0,27.4,310.7,LOW,10.0
Fusarium Wilt,1,28.3,31.0,27.4,310.7,LOW,25.0
Early Blight,0,19.9,64.3,66.6,503.1,LOW,25.0
Late Blight,1,19.9,64.3,66.6,503.1,LOW,25.0
Fusarium Wilt,2,19.9,64.3,66.6,503.1,LOW,25.0
Early Blight,0,23.7,44.6,28.2,224.1,LOW,12.0
Late Blight,2,23.7,44.6,28.2,224.1,LOW,10.0
Fusarium Wilt,1,23.7,44.6,28.2,224.1,LOW,25.0
Early Blight,1,31.2,67.9,13.2,460.9,LOW,35.0
Late Blight,1,31.2,67.9,13.2,460.9,LOW,10.0
Fusarium Wilt,1,31.2,67.9,13.2,460.9,LOW,15.0
Early Blight,1,25.2,67.7,33.2,1040.9,LOW,35.0
Late Blight,1,25.2,67.7,33.2,1040.9,LOW,25.0
Fusarium Wilt,1,25.2,67.7,33.2,1040.9,LOW,25.0
Early Blight,1,19.1,97.9,49.3,215.7,LOW,35.0
Late Blight,1,19.1,97.9,49.3,215.7,MEDIUM,55.0
Fusarium Wilt,2,19.1,97.9,49.3,215.7,LOW,25.0
Early Blight,1,28.6,36.9,84.0,1175.6,LOW,22.0
Late Blight,1,28.6,36.9,84.0,1175.6,LOW,20.0
Fusarium Wilt,0,28.6,36.9,84.0,1175.6,LOW,25.0
Early Blight,0,17.8,87.0,68.0,406.4,LOW,25.0
Late Blight,1,17.8,87.0,68.0,406.4,MEDIUM,55.0
Fusarium Wilt,0,17.8,87.0,68.0,406.4,LOW,25.0
Early Blight,1,24.2,62.4,58.3,544.9,LOW,35.0
Late Blight,1,24.2,62.4,58.3,544.9,LOW,25.0
Fusarium Wilt,2,24.2,62.4,58.3,544.9,LOW,25.0
Early Blight,1,26.4,72.7,20.8,209.6,MEDIUM,52.0
Late Blight,1,26.4,72.7,20.8,209.6,LOW,25.0
Fusarium Wilt,1,26.4,72.7,20.8,209.6,LOW,15.0
Early Blight,1,30.6,40.4,59.8,206.0,LOW,22.0
Late Blight,0,30.6,40.4,59.8,206.0,LOW,10.0
Fusarium Wilt,1,30.6,40.4,59.8,206.0,MEDIUM,40.0
Early Blight,0,30.2,63.3,30.9,478.0,LOW,25.0
Late Blight,0,30.2,63.3,30.9,478.0,LOW,10.0
Fusarium Wilt,2,30.2,63.3,30.9,478.0,LOW,25.0
Early Blight,1,36.0,56.1,35.2,514.0,LOW,35.0
Late Blight,1,36.0,56.1,35.2,514.0,LOW,10.0
Fusarium Wilt,1,36.0,56.1,35.2,514.0,LOW,25.0
Early Blight,1,31.2,63.4,20.8,887.3,LOW,35.0
Late Blight,1,31.2,63.4,20.8,887.3,LOW,10.0
Fusarium Wilt,0,31.2,63.4,20.8,887.3,LOW,15.0
Early Blight,1,28.2,62.4,78.3,657.4,LOW,35.0
Late Blight,1,28.2,62.4,78.3,657.4,LOW,10.0
Fusarium Wilt,1,28.2,62.4,78.3,657.4,LOW,25.0
Early Blight,0,37.5,51.8,12.3,149.6,LOW,25.0
Late Blight,1,37.5,51.8,12.3,149.6,LOW,10.0
Fusarium Wilt,1,37.5,51.8,12.3,149.6,LOW,15.0
Early Blight,1,22.8,36.6,37.6,493.1,LOW,22.0
Late Blight,1,22.8,36.6,37.6,493.1,LOW,20.0
Fusarium Wilt,0,22.8,36.6,37.6,493.1,LOW,25.0
Early Blight,1,35.9,34.5,34.4,471.4,LOW,22.0
Late Blight,2,35.9,34.5,34.4,471.4,LOW,10.0
Fusarium Wilt,0,35.9,34.5,34.4,471.4,LOW,25.0
Early Blight,0,35.7,48.1,65.7,746.8,LOW,12.0
Late Blight,2,35.7,48.1,65.7,746.8,LOW,10.0
Fusarium Wilt,0,35.7,48.1,65.7,746.8,MEDIUM,40.0
Early Blight,0,17.3,75.9,36.9,653.0,LOW,25.0
Late Blight,1,17.3,75.9,36.9,653.0,LOW,25.0
Fusarium Wilt,2,17.3,75.9,36.9,653.0,LOW,25.0
Early Blight,0,26.4,87.6,73.0,1024.4,MEDIUM,42.0
Late Blight,2,26.4,87.6,73.0,1024.4,LOW,25.0
Fusarium Wilt,1,26.4,87.6,73.0,1024.4,LOW,25.0
Early Blight,1,20.2,80.5,17.4,1028.6,LOW,35.0
Late Blight,2,20.2,80.5,17.4,1028.6,MEDIUM,45.0
Fusarium Wilt,1,20.2,80.5,17.4,1028.6,LOW,15.0
Early Blight,0,19.8,84.1,62.1,432.0,LOW,25.0
Late Blight,1,19.8,84.1,62.1,432.0,MEDIUM,45.0
Fusarium Wilt,2,19.8,84.1,62.1,432.0,LOW,25.0
Early Blight,1,29.4,60.8,71.1,298.7,LOW,35.0
Late Blight,0,29.4,60.8,71.1,298.7,LOW,10.0
Fusarium Wilt,1,29.4,60.8,71.1,298.7,LOW,25.0
Early Blight,0,37.1,80.5,47.4,1130.9,LOW,25.0
Late Blight,0,37.1,80.5,47.4,1130.9,LOW,10.0
